date,A,A_dplan_guard,v1_matched,0050
2026-04-01,2453143272.1585045,2364162356.9939466,2347189794.183867,1498087692.8109865
2026-04-02,2448669128.975321,2352450884.949082,2338378398.525728,1470265692.8109865
2026-04-07,2546724561.8854704,2439019488.920787,2419647611.3504205,1495305492.8109865
2026-04-08,2688598411.319756,2570880753.661189,2552693416.768317,1567642692.8109865
2026-04-09,2701367669.9376683,2576371472.812628,2573991692.864854,1566715292.8109865
2026-04-10,2785793537.3987985,2651427112.59104,2639901798.020327,1596392092.8109865
2026-04-13,2804363602.010041,2665352446.1446595,2658396310.0330987,1593609892.8109865
2026-04-14,2790889785.124485,2673778495.220222,2650799749.2023053,1639979892.8109865
2026-04-15,2817803902.94349,2700468125.871449,2685460937.9861493,1659455292.8109865
2026-04-16,2869806975.755613,2756578449.601492,2714997626.727418,1675221092.8109865
2026-04-17,2950649220.166312,2826778182.432767,2780616847.6117883,1659455292.8109865
2026-04-20,3062399219.908712,2962613155.465067,2880414506.6021013,1666874492.8109865
2026-04-21,3131540185.711596,3049280139.735369,2969691150.451297,1693769092.8109865
2026-04-22,3178313891.6638746,3105427141.505057,3004644440.11351,1700260892.8109865
2026-04-23,3108199721.9979835,3042540809.551809,2932519039.416173,1700260892.8109865
2026-04-24,3161137388.680345,3130739733.7614126,2988206930.835656,1767033692.8109865
2026-04-27,3061513703.6939945,3029698728.2474766,2901893855.2609806,1823605092.8109865
2026-04-28,3098940256.941448,3059547850.465401,2954060235.4300346,1805057092.8109865
2026-04-29,3104747165.2931747,3067905364.1659865,2963139612.4683056,1781872092.8109865
2026-04-30,3222954460.3271527,3182277918.2287188,3056800505.510737,1777235092.8109865
2026-05-04,3331657179.9485583,3270495595.17939,3178590657.936748,1853281892.8109865
2026-05-05,3377790413.056669,3319261936.327953,3210472619.903777,1853281892.8109865
2026-05-06,3355084837.704494,3279483774.0635934,3163484420.426757,1874612092.8109865
2026-05-07,3381046536.3539214,3320410825.6603403,3199588967.106697,1910780692.8109865
2026-05-08,3305859078.323181,3245689978.661881,3082067440.8402057,1897797092.8109865
2026-05-11,3439413167.0660605,3361741212.9091053,3182645494.292139,1895942292.8109865
2026-05-12,3461912254.237061,3386523152.9617977,3192161148.399723,1895014892.8109865
2026-05-13,3454026116.691892,3361625526.0944166,3154665000.906376,1869975092.8109865
2026-05-14,3445543038.03635,3321302048.409786,3128969392.63855,1880176492.8109865
2026-05-15,3292653227.179053,3190030906.3136654,3010049370.8007555,1868120292.8109865
2026-05-18,3319258905.3096504,3201302101.168928,2984426050.640522,1858846292.8109865
2026-05-19,3202654775.0464344,3103804071.94985,2913689352.1304426,1825459892.8109865
2026-05-20,3209133539.21813,3139194367.868484,2920357248.3521724,1814331092.8109865
2026-05-21,3365005026.7186418,3312507657.7307224,3057181622.259188,1876466892.8109865
2026-05-22,3475348898.09549,3445371407.669661,3171867938.942948,1903361492.8109865
